Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
227651,"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,"Haddix, Margaret Peterson",,"=""1416924981""","=""9781416924982""",0,3.99,Aladdin,Paperback,153,2006,1998,,2024/07/26,to-read,to-read (#765),to-read,,,,0,0
60510,"Poison Study (Study, #1)",Maria V. Snyder,"Snyder, Maria V.",,"=""0778324338""","=""9780778324331""",0,4.09,Mira,Paperback,427,2007,2005,,2024/07/26,to-read,to-read (#764),to-read,,,,0,0
42899,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,"Ward, J.R.",,"=""0451216954""","=""9780451216953""",0,4.16,Penguin Group (USA),Mass Market Paperback,393,2005,2005,,2024/07/26,to-read,to-read (#763),to-read,,,,0,0
76703559,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""163973094X""","=""9781639730940""",0,4.18,Bloomsbury Publishing,Hardcover,406,2023,2012,,2024/07/26,to-read,to-read (#762),to-read,,,,0,0
2213661,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0060530928""","=""9780060530921""",0,4.16,HarperCollins,Hardcover,312,2008,2008,,2024/07/26,to-read,to-read (#761),to-read,,,,0,0
2800905,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,"Armstrong, Kelley",,"=""0061662690""","=""9780061662690""",0,4.02,HarperCollins,Hardcover,390,2008,2008,,2024/07/26,to-read,to-read (#760),to-read,,,,0,0
9275658,"Legend (Legend, #1)",Marie Lu,"Lu, Marie",,"=""""","=""""",0,4.15,Putnam Juvenile,Hardcover,305,2011,2011,,2024/07/26,to-read,to-read (#759),to-read,,,,0,0
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"Riordan, Rick",,"=""142311339X""","=""9781423113393""",0,4.30,Disney-Hyperion Books,Hardcover,576,2010,2010,,2024/07/26,to-read,to-read (#758),to-read,,,,0,0
13152,"The Angel Experiment (Maximum Ride, #1)",James  Patterson,"Patterson, James",,"=""0446617792""","=""9780446617796""",0,4.07,Grand Central Publishing,Mass Market Paperback,445,2006,2005,,2024/07/26,to-read,to-read (#757),to-read,,,,0,0
36381037,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",0,4.13,Feiwel & Friends,Hardcover,400,2012,2012,,2024/07/26,to-read,to-read (#756),to-read,,,,0,0
7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416975861""","=""9781416975861""",0,4.31,Margaret K. McElderry Books,Hardcover,479,2010,2010,,2024/07/26,to-read,to-read (#755),to-read,,,,0,0
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"Fitzpatrick, Becca",,"=""1416989412""","=""9781416989417""",0,3.92,Simon & Schuster,Hardcover,391,2009,2009,,2024/07/26,to-read,to-read (#754),to-read,,,,0,0
687278,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"Chödrön, Pema",,"=""1570623449""","=""9781570623448""",0,4.28,Shambhala,Paperback,148,2000,1996,,2024/07/26,to-read,to-read (#753),to-read,,,,0,0
41580312,Be Here Now,Ram Dass,"Dass, Ram",,"=""""","=""""",0,4.34,HarperOne,Kindle Edition,116,2010,1971,,2024/07/26,to-read,to-read (#752),to-read,,,,0,0
38210,The Art of Happiness,Dalai Lama XIV,"XIV, Dalai Lama",Howard C. Cutler,"=""1573221112""","=""9781573221115""",0,4.17,Riverhead Hardcover,Hardcover,322,1998,1998,,2024/07/26,to-read,to-read (#751),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.49,Metropolitan Books,Hardcover,282,2014,2014,,2024/07/25,to-read,to-read (#750),to-read,,,,0,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,4.27,ALLEN LANE,Hardcover,480,2018,2018,,2024/07/25,to-read,to-read (#749),to-read,,,,0,0
2094,A Briefer History of Time,Stephen Hawking,"Hawking, Stephen",Leonard Mlodinow,"=""0553804367""","=""9780553804362""",0,4.26,Bantam,Hardcover,176,2005,2005,,2024/07/25,to-read,to-read (#748),to-read,,,,0,0
27333,Silent Spring,Rachel Carson,"Carson, Rachel",,"=""0618249060""","=""9780618249060""",0,4.05,Mariner Books,Paperback,378,2022,1962,,2024/07/25,to-read,to-read (#747),to-read,,,,0,0
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313354""","=""9781571313355""",0,4.53,Milkweed Editions,Hardcover,408,2013,2013,,2024/07/25,to-read,to-read (#746),to-read,,,,0,0
